"349190600","BIELSKO-BIA£A","2014","01",6.3,"",3.1,"",1.0,"",5.7,"",82.8,"",965.2,"",1014.5,"",11.0,"",18.8,""
"349190600","BIELSKO-BIA£A","2014","02",5.0,"",2.8,"",4.7,"",6.1,"",71.8,"",965.5,"",1014.0,"",20.3,"",5.9,""
"349190600","BIELSKO-BIA£A","2014","03",4.6,"",3.2,"",6.8,"",6.6,"",69.5,"",968.9,"",1017.2,"",26.0,"",24.8,""
"349190600","BIELSKO-BIA£A","2014","04",5.5,"",2.4,"",10.2,"",9.2,"",74.5,"",966.5,"",1014.1,"",30.0,"",17.3,""
"349190600","BIELSKO-BIA£A","2014","05",5.5,"",2.3,"",13.1,"",10.9,"",73.6,"",967.4,"",1014.5,"",113.4,"",128.8,""
"349190600","BIELSKO-BIA£A","2014","06",5.1,"",2.1,"",15.9,"",12.0,"",69.1,"",969.4,"",1016.2,"",66.7,"",47.2,""
"349190600","BIELSKO-BIA£A","2014","07",5.1,"",1.7,"",19.6,"",16.5,"",74.0,"",967.3,"",1013.3,"",133.5,"",21.8,""
"349190600","BIELSKO-BIA£A","2014","08",5.5,"",2.2,"",16.9,"",14.8,"",76.8,"",967.8,"",1014.3,"",70.0,"",51.0,""
"349190600","BIELSKO-BIA£A","2014","09",5.1,"",1.8,"",14.6,"",13.9,"",83.7,"",970.8,"",1017.8,"",54.4,"",78.6,""
"349190600","BIELSKO-BIA£A","2014","10",4.3,"",2.3,"",10.7,"",10.9,"",83.1,"",971.7,"",1019.5,"",59.0,"",14.1,""
"349190600","BIELSKO-BIA£A","2014","11",5.8,"",2.5,"",6.9,"",8.2,"",81.8,"",969.8,"",1018.1,"",19.1,"",22.9,""
"349190600","BIELSKO-BIA£A","2014","12",6.8,"",3.9,"",1.5,"",5.6,"",79.4,"",970.1,"",1019.4,"",11.0,"",23.7,""
"349190625","ZAKOPANE","2014","01",6.4,"",1.5,"",-1.1,"",5.1,"",86.0,"",912.7,"",750.8,"",7.8,"",17.6,""
"349190625","ZAKOPANE","2014","02",5.6,"",1.5,"",2.1,"",5.3,"",77.4,"",913.7,"",757.6,"",16.2,"",31.4,""
"349190625","ZAKOPANE","2014","03",5.1,"",1.8,"",4.1,"",5.8,"",74.9,"",916.8,"",784.4,"",36.9,"",37.8,""
"349190625","ZAKOPANE","2014","04",6.1,"",1.5,"",7.1,"",8.3,"",82.7,"",915.0,"",767.9,"",50.0,"",45.6,""
"349190625","ZAKOPANE","2014","05",5.5,"",1.5,"",10.3,"",9.8,"",79.7,"",916.2,"",778.4,"",201.6,"",143.9,""
"349190625","ZAKOPANE","2014","06",5.7,"",1.3,"",13.2,"",11.1,"",75.3,"",918.7,"",799.9,"",49.0,"",29.6,""
